都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0190100370,北海道,札幌市中央区,定期巡回モルス24,テイキジュンカイモルスニジュウヨン,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西14丁目1番72号ふれあいの森　市立病院前,ふれあいの森　市立病院前,43.072415360518725,141.333324792030700,011-738-9918,011-738-2082,9430001039498,株式会社モルス,0190100370,,,0,https://www.morus.co.jp/,,,,
011011,0190100974,北海道,札幌市中央区,ブルー・ケア株式会社,ブルー・ケアカブシキガイシャ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西24丁目1番20号ブルースター北円山,ブルースター北円山,43.070475300000000,141.318481900000000,011-215-8890,011-215-8891,5430001078483,ブルー・ケア株式会社,0190100974,,,45,kitamaruinfo@blue-care.net,,,,
011011,0190100511,北海道,札幌市中央区,やまはな24,ヤマハナニジュウヨン,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南16条西19丁目1番32シティホーム山鼻,シティホーム山鼻,43.036803000000000,141.330256900000000,011-522-8177,011-522-8133,5430001029107,ホクビシティホーム株式会社,0190100511,,,0,,,,,
011011,0190101170,北海道,札幌市中央区,SOMPOケア　札幌桑園駅前　定期巡回,ソンポケア　サッポロソウエンエキマエ　テイキジュンカイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西14丁目1-17,,43.071859900000000,141.332185800000000,011-788-7739,011-788-6398,1260001015656,ＳＯＭＰＯケア株式会社,0190101170,,,,https://www.sompocare.com,,,,
011011,0190101196,北海道,札幌市中央区,ＳＯＭＰＯケア旭ヶ丘　定期巡回,ソンポケアアサヒガオカテイキジュンカイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南14条西18丁目6-22ラヴィーレレジデンス旭ヶ丘,ラヴィーレレジデンス旭ヶ丘,43.040012600000000,141.328674400000000,011-206-9577,011-533-3377,1260001015656,ＳＯＭＰＯケア株式会社,0190101196,,,0,https://www.sompocare.com,,,,
011011,0190100248,北海道,札幌市中央区,マザアス札幌２４時間訪問介護看護事業所,マザアスサッポロニジュウヨジカンホウモンカイゴカンゴジギョウショ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北３条東１丁目１番地１ブランジェイアール札幌,ブランジェイアール札幌,43.065962100000000,141.356398200000060,011-210-0330,011-221-2332,9011101062358,株式会社マザアス,0190100248,,,0,http://www.motherth.com/sapporo/,,,,
011011,0190100396,北海道,札幌市中央区,定期巡回随時対応訪問介護看護　フルハウス伏見,テイキジュンカイズイジタイオウホウモンカイゴカンゴ　フルハウスフシミ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南20条西16丁目2－1,,43.029429600000000,141.337413100000050,011-533-2002,011-533-2003,1430001030274,株式会社Ｈｕｍａｎ－ｓｙｓｔｅｍ　Ｊａｐａｎ,0190100396,,,0,,,,,
011011,0190100636,北海道,札幌市中央区,朝日ケアステーション山鼻,アサヒケアステーションヤマハナ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南18条西12丁目4-12朝日ケアホーム山鼻,朝日ケアホーム山鼻,43.034837600000000,141.342434599999930,011-213-1505,011-213-1215,4430001045716,株式会社ドクターアイズ,0190100636,,,0,https://www.asahi-care-home.com/,,,,
011011,0190100537,北海道,札幌市中央区,ノア地域巡回センター旭ヶ丘,ノアチイキジュンカイセンターアサヒガオカ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南１２条西２２丁目１－４０ノアガーデン旭ヶ丘　アーバンクラス内,ノアガーデン旭ヶ丘　アーバンクラス内,43.042222300000000,141.325588400000010,011-520-2500,011-520-2508,8430001009015,株式会社ノアコンツェル,0190100537,,,0,http://www.noah-konzer.com,,,,
011011,0190100933,北海道,札幌市中央区,ノア地域巡回センター啓明,ノアチイキジュンカイセンターケイメイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南13条西23丁目1-20ノアガーデンエレンクラッセ,ノアガーデンエレンクラッセ,43.039484600000000,141.325348500000000,011-562-1001,011-562-6003,8430001009015,株式会社ノアコンツェル,0190100933,,,0,https://www.noah-konzer.com/,,,,
