都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0170103378,北海道,札幌市中央区,福祉用具レンタル小鳥,フクシヨウグレンタルコトリ,特定福祉用具販売,札幌市中央区南７条西１６丁目３番１４カーサ　リーベラ　１０３号,カーサ　リーベラ　１０３号,43.049268253002516,141.333007528921300,011‐518-5501,011‐351‐2725,,株式会社　アメニィタ,0170103378,平日,,,,,,,
011011,0170204192,北海道,札幌市中央区,株式会社デュオ,カブシキカイシャデュオ,特定福祉用具販売,北海道札幌市中央区北３条西１２丁目２番地２,,43.063126930236436,141.338205898695430,011-200-0061,011-211-5858,8430001031951,株式会社デュオ,0170204192,平日,,,,,,,
011011,0170100366,北海道,札幌市中央区,株式会社　伊藤医科器械店,カブシキガイシャ　イトウイカキカイテン,特定福祉用具販売,北海道札幌市中央区北6条西23丁目1-24,,43.064416617101955,141.320932135581980,011-643-0670,011-631-5545,5430001001453,株式会社伊藤医科器械店,0170100366,"平日,土曜日",,,,,,,
011011,0170208284,北海道,札幌市中央区,ライフサポートせせらぎ,ライフサポートセセラギ,特定福祉用具販売,札幌市中央区南１５条西１９丁目４番１号楽ゆう館ふしみ,楽ゆう館ふしみ,43.037483792937800,141.327685580543180,011-792-8880,011-205-3168,7430001038279,株式会社アルワン,0170208284,"平日,祝日",,,https://rakuyu-kan.com/company/,,,,
011011,0170104665,北海道,札幌市中央区,ＳＯＭＰＯケア　札幌　福祉用具,ソンポケア　サッポロ　フクシヨウグ,特定福祉用具販売,札幌市中央区北11条西14丁目1番17号,,43.071859664695920,141.331829507151240,011-788-7900,011-788-6628,1260001015656,ＳＯＭＰＯケア株式会社,0170104665,平日,コールセンター0120-65-1192（改行）(9：00～18：00土日祝除く),,,,,,
011011,0170104137,北海道,札幌市中央区,パナソニックエイジフリーショップ札幌中央,パナソニックエイジフリーショップサッポロチュウオウ,特定福祉用具販売,北海道札幌市中央区北2条東10丁目93-33,,43.066662400000000,141.372191599999950,011-251-1957,011-252-4028,5120001158234,パナソニックエイジフリー株式会社,0170104137,"平日,土曜日",営業時間以外においても利用者の状況等により相談に応じます。,,http://sumai.panasonic.jp/agefree/map/detail.php?id=119,,,,
011011,0170505887,北海道,札幌市中央区,フランスベッド株式会社　メディカル札幌営業所,フランスベッドカブシキガイシャ　メディカルサッポロエイギョウショ,特定福祉用具販売,北海道札幌市中央区北１条東８丁目１番４号ホクアイ北１条　１階,ホクアイ北１条　１階,43.065073600000010,141.368203000000000,011-806-0021,011-806-0034,5012801004462,フランスベッド株式会社,0170505887,"平日,土曜日",,,http://www.francebed.co.jp/,,,,
011011,0170105480,北海道,札幌市中央区,ノースヘルスケアサポート,ノースヘルスケアサポート,特定福祉用具販売,北海道札幌市中央区南9条西3丁目10-97札幌KSビル4F,札幌KSビル4F,43.049388400000010,141.355818300000000,011-520-7007,011-561-2011,2430002040453,株式会社アイケア北海道,0170105480,平日,,,,,,,
011011,0170506182,北海道,札幌市中央区,株式会社ライフプラス,カブシキガイシャライフプラス,特定福祉用具販売,札幌市中央区南10条西21丁目4番7号,,43.044836402354320,141.326394415664940,011-211-5355,011-211-5356,8430001041496,株式会社ライフプラス,0170506182,"平日,土曜日",,,http://lfplus.jp,,,,
011011,0170105779,北海道,札幌市中央区,合同会社　樹（福祉用具　いつき）,ゴウドウガイシャイツキ　フクシヨウグイイツキ,特定福祉用具販売,札幌市中央区南17条西9丁目2番36号,,43.036719600000000,141.346558700000000,011-211-6565,011-200-0535,5430003008265,合同会社樹,0170105779,平日,,,,,,,
011029,0170103774,北海道,札幌市北区,イリーゼ生活サポート札幌,イリーゼセイカツサポートサッポロ,特定福祉用具販売,北海道札幌市北区新琴似4条1丁目1-45イリーゼ新琴似内,イリーゼ新琴似内,43.105242600000000,141.330378600000020,011-707-5030,011-707-5031,,長谷川介護サービス株式会社,0170103774,平日,,,http://www.irs.jp/,,,,
011029,0170207351,北海道,札幌市北区,特定福祉用具販売事業所　ウェルフェア萌　しのろ,トクテイフクシヨウグハンバイジギョウショ　ウェルフェアモエ　シノロ,特定福祉用具販売,北海道札幌市北区篠路１０条１丁目１番１号ウェルフェアＭＯＥ,ウェルフェアＭＯＥ,43.157443350601120,141.353229611821120,011-771-8866,011-771-8878,,株式会社萌福祉サービス,0170207351,"平日,祝日",※但し、電話での連絡可能（３６５日、２４時間体制）、対応もいたします。,,http;//www.moe-fukushi.com,,,,
