都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011029,0170210231,北海道,札幌市北区,アサヒサンクリーン在宅介護センター札幌北,アサヒサンクリーンザイタクカイゴセンターサッポロキタ,訪問入浴介護,札幌市北区麻生町６丁目６番９号あざぶマリオン１階,あざぶマリオン１階,43.112507300000000,141.340640400000000,050-3625-3862,011-790-6667,5080001018392,アサヒサンクリーン株式会社,0170210231,"平日,祝日",,0,https://www.asahi-sun-clean.co.jp/,,,,
011029,0170201115,北海道,札幌市北区,アースサポート札幌,アースサポートサッポロ,訪問入浴介護,北海道札幌市北区北25条西6丁目3番23号,,43.092105700000000,141.340639600000030,011-700-3366,011-700-1188,2011001027780,アースサポート株式会社,0170201115,"平日,土曜日,祝日",その他休業日：12月30日～1月3日,0,http://www.earthsupport.co.jp,,,,
011037,0170209894,北海道,札幌市東区,アサヒサンクリーン在宅介護センター札幌東,アサヒサンクリーンザイタクカイゴセンターサッポロヒガシ,訪問入浴介護,札幌市東区北９条東16丁目１番13号,,43.076254500000000,141.378295900000000,050-3508-9501,011-299-8310,5080001018392,アサヒサンクリーン株式会社,0170209894,"平日,祝日",,0,https://www.asahi-sun-clean.co.jp/,,,,
011037,0170209134,北海道,札幌市東区,ツクイ札幌東,ツクイサッポロヒガシ,訪問入浴介護,北海道札幌市東区北24条東21丁目7-22,,43.095451900000000,141.385783800000000,011-787-3995,011-787-3997,1020001136162,株式会社ツクイ,0170209134,"平日,土曜日,祝日",,0,https://www.tsukui.net/home-care/2049/,,,,
011045,0170515290,北海道,札幌市白石区,セントケア札幌白石,セントケアサッポロシロイシ,訪問入浴介護,南郷18丁目北3-9　MAPLE　HILLS南郷１階,,43.031803400000000,141.434706700000000,0118686015,,3430001021445,セントケア北海道株式会社,0170515290,平日,,0,http://www.saint-care.com/hokkaido,,,,
011053,0170500300,北海道,札幌市豊平区,三井ヘルスサービス株式会社,ミツイヘルスサービスカブシキカイシャ,訪問入浴介護,北海道札幌市豊平区平岸２条３丁目６－１３三井ビル平岸,,43.039496900000000,141.369441400000030,011-814-4016,011-823-4580,5430001016443,三井ヘルスサービス株式会社,0170500300,"平日,土曜日,日曜日,祝日",年末年始（１２/３０～１/３）休業,0,https://www.mitsui-hs.jp/,,,,
011053,0170515894,北海道,札幌市豊平区,アサヒサンクリーン在宅介護センター札幌豊平,アサヒサンクリーンザイタクカイゴセンターサッポロトヨヒラ,訪問入浴介護,札幌市豊平区中の島２条３丁目1-1グリーンコーポ中の島102,グリーンコーポ中の島102,43.036213800000000,141.359783400000000,050-3508-8151,011-876-8615,5080001018392,アサヒサンクリーン株式会社,0170515894,"平日,祝日",,0,https://www.asahi-sun-clean.co.jp/,,,,
011061,0170503726,北海道,札幌市南区,アースサポート札幌南,アースサポートサッポロミナミ,訪問入浴介護,北海道札幌市南区澄川4条2丁目3番10号,,43.016301000000000,141.367672299999980,011-813-9211,011-813-9212,2011001027780,アースサポート株式会社,0170503726,"平日,土曜日,祝日",日曜日　その他休業日：12月30日～1月3日,0,http://www.earthsupport.co.jp,,,,
011070,0170500110,北海道,札幌市西区,セントケア札幌,セントケアサッポロ,訪問入浴介護,北海道札幌市西区琴似1条6丁目4-3　札幌琴似第一ビル１F,,43.074102100000000,141.301549100000000,0116161884,0116162888,3430001021445,セントケア北海道株式会社,0170500110,平日,,60,https://www.saint-care.com/hokkaido,,,,
011070,0170404974,北海道,札幌市西区,ＳＯＭＰＯケア　札幌発寒　訪問入浴,ソンポケア　サッポロハッサム　ホウモンニュウヨク,訪問入浴介護,北海道札幌市西区発寒6条4丁目6番3号,,43.089275900000000,141.292424699999970,011-669-7071,011-662-7051,1260001015656,ＳＯＭＰＯケア株式会社,0170404974,"平日,土曜日,祝日",協力医療機関の営業時間及び居宅サービス計画に応じて、上記以外にも訪問入浴介護の提供を行う場合があるものとしています,0,http://www.sompocare.com,,,,
011070,0170403133,北海道,札幌市西区,アースサポート札幌西,アースサポートサッポロニシ,訪問入浴介護,北海道札幌市西区発寒4条2丁目3番10号,,43.085565600000000,141.297446700000020,011-662-7300,011-662-7310,2011001027780,アースサポート株式会社,0170403133,"平日,土曜日,祝日",日曜（改行）12/30～1/3を除く,0,http://www.earthsupport.co.jp/,,,,
011070,0170406060,北海道,札幌市西区,合同会社レゾナ,ゴウドウガイシャレゾナ,訪問入浴介護,北海道札幌市西区八軒８条東２丁目２番２０号セントベル八軒３０５,セントベル八軒３０５,43.088390500000000,141.318951800000000,0115560474,0113014575,1430003015422,合同会社レゾナ,0170406060,"平日,土曜日,祝日",年末年始　12/31～1/3　休日　（改行）祝日　稼働状況により営業,0,https://www.rezonallc.com/,,,,
011088,0170516108,北海道,札幌市厚別区,アサヒサンクリーン在宅介護センター札幌厚別,アサヒサンクリーンザイタクカイゴセンターサッポロアツベツ,訪問入浴介護,北海道札幌市厚別区厚別中央３条１丁目６番３号,,43.033655600000000,141.455536700000000,050-3508-1020,011-887-8808,5080001018392,アサヒサンクリーン株式会社,0170516108,"平日,祝日",,0,https://www.asahi-sun-clean.co.jp/,,,,
011088,0170506562,北海道,札幌市厚別区,アースサポート新札幌,アースサポートシンサッポロ,訪問入浴介護,北海道札幌市厚別区厚別中央3条5丁目7番23号,,43.043076200000000,141.471972500000000,011-896-1900,011-896-1901,2011001027780,アースサポート株式会社,0170506562,"平日,土曜日,祝日",,0,http://www.earthsupport.co.jp,,,,
012025,0171405459,北海道,函館市,藤井カンパニー合同会社,フジイカンパニーゴウドガイシャ,訪問入浴介護,北海道函館市富岡町1丁目29番14号コーポフジイⅡ　201号室,コーポフジイⅡ　201号室,41.804217600000000,140.746197100000000,0138-84-1168,0138-85-6573,2440003001569,藤井カンパニー合同会社,0171405459,"平日,土曜日,祝日",,,,,,,
012025,0171404593,北海道,函館市,ＳＯＭＰＯケア函館昭和訪問入浴,ソンポケアハコダテショウワホウモンニュウヨク,訪問入浴介護,北海道函館市昭和4丁目30-35,,41.816685800000000,140.731966400000030,0138-43-0525,0138-43-0526,1260001015656,ＳＯＭＰＯケア株式会社,0171404593,"平日,土曜日,祝日",協力医療機関の営業時間及び居宅サービス計画に応じて、上記以外にも訪問入浴介護の提供を行う場合があるものとしています。,70,https://www.sompocare.com/,,,,
012025,0171402258,北海道,函館市,アースサポート函館,アースサポートハコダテ,訪問入浴介護,北海道函館市富岡町３丁目１番１号,,41.807562500000000,140.752598499999980,0138-44-1900,0138-44-1901,2011001027780,アースサポート株式会社,0171402258,"平日,土曜日,祝日",１２月３０日～１月３日を除く,0,http://www.earthsupport.co.jp,,,,
012025,0171403389,北海道,函館市,アースサポート函館亀田港町,アースサポートハコダテカメダミナトマチ,訪問入浴介護,北海道函館市亀田港町43-18,,41.810152700000000,140.725018700000000,0138-40-8311,0138-40-8310,2011001027780,アースサポート株式会社,0171403389,"平日,土曜日,祝日",,0,http://www.earthsupport.co.jp,,,,
012033,0172001505,北海道,小樽市,アースサポート小樽,アースサポートオタル,訪問入浴介護,北海道小樽市稲穂2丁目3番13号かもめビル,かもめビル,43.197127800000000,140.998722400000020,0134-22-0111,0134-22-0022,2011001027780,アースサポート株式会社,0172001505,"平日,祝日",12月30日～1月3日を除く,0,http://www.earthsupport.co.jp,,,,
012033,0162090203,北海道,小樽市,訪問入浴介護支援　楓,ホウモンニュウヨクカイゴシエン　カエデ,訪問入浴介護,北海道小樽市末広町２番６号,,43.210564437005940,140.995241789549280,0134-55-0862,0134-55-2081,4430001067685,株式会社ＯＺＯＮＥ,0162090203,"平日,土曜日",祝日は利用者の状況などにより要相談。,,,,,,
012041,0172903403,北海道,旭川市,アースサポート旭川,アースサポートアサヒカワ,訪問入浴介護,北海道旭川市神居2条3丁目2番15号,,43.767445900000000,142.331205800000020,0166-61-9100,0166-61-9101,2011001027780,アースサポート株式会社,0172903403,"平日,土曜日,祝日",日曜日・12/30～1/3を除く。,0,http://www.earthsupport.co.jp,,,,
012041,0172903437,北海道,旭川市,株式会社訪問入浴介護サービス黒田,カブシキガイシャホウモンニュウヨクカイゴサービスクロダ,訪問入浴介護,北海道旭川市永山9条14丁目4番24号,,43.797799100000000,142.433118700000020,0166-47-4203,0166-48-4779,2450001006759,株式会社訪問入浴介護サービス黒田,0172903437,"平日,土曜日,祝日",,0,,,,,
012041,0172907941,北海道,旭川市,ツクイ旭川豊岡,ツクイアサヒカワトヨオカ,訪問入浴介護,北海道旭川市豊岡7条8丁目5‐8,,43.763991500000000,142.419224900000000,0166-39-3600,0166-39-3601,1020001136162,株式会社ツクイ,0172907941,"平日,土曜日,日曜日,祝日",,100,https://www.tsukui.net,,,,
012041,0172907180,北海道,旭川市,訪問入浴サービスほっとライフ,ホウモンニュウヨクサービスホットライフ,訪問入浴介護,北海道旭川市豊岡４条２丁目５番２４号,,43.760221159596780,142.394286557060980,0166-56-8217,0166-73-8984,5450001012250,株式会社ルクスト,0172907180,"平日,土曜日,祝日",,0,https://luxt-asahikawa.com,,,,
012050,0173502063,北海道,室蘭市,ＳＯＭＰＯケア　室蘭入江　訪問入浴,ソンポケア　ムロランイリエ　ホウモンニュウヨク,訪問入浴介護,北海道室蘭市入江町1-11KAZU入江ビル　2階,KAZU入江ビル　2階,42.321247000000030,140.972974000000020,0143-48-3711,0143-24-8312,1260001015656,ＳＯＭＰＯケア株式会社,0173502063,"平日,土曜日,祝日",協力医療関係の営業時間、及び居宅サービス計画に応じて、上記以外にも訪問入浴介護の提供を行う場合があるものとしています。,0,https://www.sompocare.com,,,,
012050,0173501545,北海道,室蘭市,アースサポート室蘭,アースサポートムロラン,訪問入浴介護,北海道室蘭市寿町3丁目23番8号,,42.348844199999990,141.036571099999950,0143-47-9900,0143-47-9901,2011001027780,アースサポート株式会社,0173501545,"平日,祝日",土曜日、日曜日、12月30日～1月3日を除く,0,http://www.earthsupport.co.jp,,,,
012068,0174142430,北海道,釧路市,ＳＯＭＰＯケア　釧路愛国　訪問入浴,ソンポケア　クシロ　アイコク　ホウモンニュウヨク,訪問入浴介護,北海道釧路市愛国東3-1-3今野貸事務所Ａ．Ｂ号今野貸事務所Ａ．Ｂ号,今野貸事務所Ａ．Ｂ号,43.006979600000000,144.388506900000040,0154-39-2960,0154-38-5482,1260001015656,ＳＯＭＰＯケア株式会社,0174142430,"平日,土曜日,祝日",,0,https://www.sompo.com,,,,
012068,0174101584,北海道,釧路市,アースサポート釧路,アースサポートクシロ,訪問入浴介護,北海道釧路市新富町9番21号,,42.992470300000000,144.391871000000040,0154-23-2511,0154-23-2522,2011001027780,アースサポート株式会社,0174101584,"平日,土曜日,祝日",日曜日・12月30日～1月3日を除く,0,http://www.earthsupport.co.jp/,,,,
012076,0174602003,北海道,帯広市,株式会社支援,カブシキガイシャシエン,訪問入浴介護,北海道帯広市西１７条南４丁目25番6号,,42.914090500000000,143.168958800000040,08060956055,0155353961,,株式会社支援,0174602003,平日,,0,,,,,
012076,0174601401,北海道,帯広市,アースサポート帯広,アースサポートオビヒロ,訪問入浴介護,北海道帯広市東7条南14丁目１番地13,,42.916778800000000,143.216567899999970,0155-26-0900,0155-26-0901,2011001027780,アースサポート株式会社,0174601401,"平日,祝日",日曜日・12月30日～1月3日は休み,0,http://www.earthsupport.co.jp/,,,,
012076,0174601542,北海道,帯広市,ケアハウスグランドペアレント株式会社,ケアハウスグランドペアレントカブシキカイシャ,訪問入浴介護,北海道帯広市南の森西2丁目4番地15,,42.883991200000000,143.169307399999980,0155-66-9325,0155-66-9327,9460101004977,ケアハウスグランドペアレント株式会社,0174601542,"平日,土曜日,日曜日,祝日",,0,http://www.carehouse-grandparent.com/,,,,
012084,0175013002,北海道,北見市,訪問入浴はな,ホウモンニュウヨクハナ,訪問入浴介護,北海道北見市桜町6丁目1番地２,,43.808722700000000,143.909152700000000,0157-31-0087,0157-25-0187,3460305001883,一般社団法人はな,0175013002,"平日,祝日",,0,,,,,
012084,0175000728,北海道,北見市,ふれやか訪問入浴介護事業所,フレヤカホウモンニュウヨクカイゴジギョウショ,訪問入浴介護,北海道北見市大正56番地52,,43.807924200000000,143.840607999999970,0157-66-1125,0157-66-1126,5460301001101,株式会社ふれやか,0175000728,"平日,土曜日,祝日",電話等により、24時間常時連絡が可能な体制とする。,30,http://www.fureyaka.jp,,,,
012106,0175700731,北海道,岩見沢市,アースサポート岩見沢,アースサポートイワミザワ,訪問入浴介護,北海道岩見沢市北３条西１１丁目１番３２号,,43.205654482381114,141.750700219049120,0126-20-0811,0126-20-0810,2011001027780,アースサポート株式会社,0175700731,"平日,土曜日,祝日",日曜日、12月30日～1月3日,0,http://www.earthsupport.co.jp/,,,,
012106,0175701333,北海道,岩見沢市,和幸ケア,ワコウケア,訪問入浴介護,北海道岩見沢市志文町998-62,,43.171496400000000,141.773901300000000,0126-35-7247,0126-35-7248,1430001092307,和幸ケア株式会社,0175701333,"平日,土曜日,祝日",年末年始休業は年度により日数が異なります。（改行）第３水曜日は稼働状況により営業,0,https://waco-care.com,,,,
012114,0175300607,北海道,網走市,アースサポート網走,アースサポートアバシリ,訪問入浴介護,北海道網走市北5条西4丁目2番1号,,44.025045000000000,144.260360399999970,0152-45-0900,0152-45-0901,2011001027780,アースサポート株式会社,0175300607,"平日,土曜日,祝日",日曜日、12月30日～1月3日を除く,0,http://www.earthsupport.co.jp,,,,
012131,0173601394,北海道,苫小牧市,アースサポート　苫小牧,アースサポート　トマコマイ,訪問入浴介護,北海道苫小牧市緑町１－２２－１５,,42.644556600000000,141.604765499999980,0144-35-9800,0144-35-9801,2011001027780,アースサポート株式会社,0173601394,"平日,祝日",土曜日、日曜日、12月30日～1月3日を除く,0,http://www.earthsupport.co.jp/,,,,
