都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0190101105,北海道,札幌市中央区,看護小規模多機能ホーム『ミヤビーの家』,カンゴショウキボタキノウホーム　ミヤビーノイエ,看護小規模多機能型居宅介護（複合型サービス）,札幌市中央区宮の森2条13丁目12-10,,43.054423515044700,141.299399406745920,011-624-3811,011-624-3812,9430001079271,株式会社ミヤビー,0190101105,,,8,https://miyaby.amebaownd.com/,なし,通常の指定,なし,
011011,0190101147,北海道,札幌市中央区,看多機　アイケア山鼻,カンタキ　アイケアヤマハナ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市中央区南１９条西７丁目2-17-101秋葉アパート１０１号室,秋葉アパート１０１号室,43.034718152280405,141.350150595106500,011-213-1996,011-213-1997,2430002040453,株式会社アイケア北海道,0190101147,,,0,,あり,通常の指定,通常の指定,
011011,0190100347,北海道,札幌市中央区,複合型サービスふれあい,フクゴウガタサービスフレアイ,看護小規模多機能型居宅介護（複合型サービス）,札幌市中央区南16条西8丁目2-37,,43.038363846861420,141.348755798811300,011-513-1310,011-520-6555,3430001064270,株式会社ケアサポートまごころ,0190100347,,,29,http://cs-magokoro.com/service.html,なし,通常の指定,なし,
011011,0190101154,北海道,札幌市中央区,複合型サービスふれあい198,フクゴウガタサービスフレアイイチキュウハチ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市中央区南19条西8丁目2-10,,43.033934258530680,141.349295161184070,080-2873-8434,011-522-9353,3430001064270,株式会社ケアサポートまごころ,0190101154,,,0,,なし,通常の指定,なし,
011011,0190101121,北海道,札幌市中央区,看多機　つなぐ,カンタキ　ツナグ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市中央区南12条西10丁目1－12ふれあいの森南12条館２階,ふれあいの森南12条館２階,43.044208800000000,141.343398800000000,011-206-7751,011-596-8750,9430001039498,株式会社モルス,0190101121,,,0,,あり,通常の指定,通常の指定,
011011,0190100727,北海道,札幌市中央区,看護小規模多機能型居宅介護事業所　海陽亭,カンゴショウキボタキノウガタキョタクカイゴジギョウショ　カイヨウテイ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市中央区南11条西1丁目5-8海陽亭,海陽亭,43.046292200000000,141.356852099999970,011-530-5700,011-530-5701,7430005013410,社会福祉法人ろく舎,0190100727,,,0,https://rokusya.com,なし,,,
011029,0190200923,北海道,札幌市北区,看護小規模多機能ら・すれ,カンゴショウキボタキノウラ・スレ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市北区屯田11条3丁目7番20号高齢者複合施設ら・すれ,高齢者複合施設ら・すれ,43.148425900000000,141.342108000000050,011‐776‐1165,011‐770‐6611,7430001028833,株式会社ノース・フィール,0190200923,,,0,https://www.north-feel.jp/,なし,通常の指定,なし,
011029,0190201772,北海道,札幌市北区,勤医協看護小規模多機能型居宅介護　紬,キンイキョウカンゴショウキボタキノウガタキョタクカイゴツムギ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市北区北32条西8丁目1番1号勤医協北32条在宅総合センター,勤医協北32条在宅総合センター,43.098025247160365,141.336058920901450,011-299-7353,011-299-9277,4430005011284,社会福祉法人勤医協福祉会,0190201772,,・サービス提供前に健康チェックを行い、結果によっては、入浴サービスを中止する場合があること。（改行）・利用日に欠席をする場合には、前日までに事業所に連絡していただくこと。（改行）・サービス提供上、他の利用者の方に迷惑となる行為が見られた場合、利用の中止をしていただくこと。,29,https://kin-fukushikai.jp/,なし,,,
011037,0190200964,北海道,札幌市東区,あおい栄町,アオイサカエマチ,看護小規模多機能型居宅介護（複合型サービス）,札幌市東区北４５条東１４丁目２－３,,43.116933100000000,141.362702800000000,011-788-8785,011-788-8825,2430001040371,株式会社ソニック,0190200964,,,29,https://aoi-sonic.com/,あり,通常の指定,,
011037,0190201343,北海道,札幌市東区,看護小規模多機能型居宅介護事業所　えくぼ元町,カンゴショウキボタキノウガタキョタクカイゴジギョウショ　エクボモトマチ,看護小規模多機能型居宅介護（複合型サービス）,札幌市東区北25条東20丁目7番1号,,43.096373100000000,141.383482900000000,011－780－3200,011－789－7501,8430002032635,有限会社おいらーく,0190201343,,通いサービスの時間や回数は、利用者様の状態、意向など柔軟に対応いたします。（改行）夜間の緊急時の対応は、看護師の待機として対応できる体制が整っています。,,www.oira-ku.com,なし,,,
011037,0190201582,北海道,札幌市東区,看護小規模多機能型居宅介護あおい北40条,カンゴショウキボタキノウガタキョタクカイゴ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区北40条東9丁目3-5住宅型有料老人ホームあおい北40条館,住宅型有料老人ホームあおい北40条館,43.110038300000000,141.358914700000000,011-733-0711,011-733-0712,2430001040371,株式会社ソニック,0190201582,,,,https://aoi-sonic.com/,なし,通常の指定,なし,
011037,0190201624,北海道,札幌市東区,看護小規模多機能型居宅介護あおい新道東,カンゴショウキボタキノウガタキョタクカイゴアオイシンドウヒガシ,看護小規模多機能型居宅介護（複合型サービス）,北海道札幌市東区北35条東15丁目1-11,,43.105467399999990,141.368236700000000,011-712-5100,011-712-5101,2430001040371,株式会社ソニック,0190201624,,,0,http://aoi-sonic.com/,あり,通常の指定,通常の指定,
